Name,Cost,Role,Traits,Ability,Mana,Description,Unlock
Galio,5,Magic Tank,"Demacia, Heroic",Inspirational Might,90/140,"Passive: Every 3 rd attack deals 247/371/5850 ( ) magic damage in a circle around the target. Active: Dash into the largest group of units and inspire all allies within 2 hexes, granting them 500/600/2000 ( ) Shield for 4 seconds. Then crash down, dealing 98/146/650 ( ) bonus magic damage to all enemies with 2 hexes. Passive Damage: 247/371/5850 ( ) Crash Armor Scaling: 150/225/1000 % Crash Damage: 98/146/650 350/525/5000 % ( ) + 150/225/1000 % ( ) Shield: 500/600/2000 ( )",12 unique star levels ofDemacia
Kindred,5,Attack Marksman,"Eternal, Quickstriker",Lamb's Respite,80/200,"Dash, then create a 2 -hex radius zone for 2.5/2.5/99 seconds that shields allies within for 350/750/10000 ( ) health for the zone's duration. While active, double current Attack Speed and on attack, fire a secondary arrow at a nearby enemy that deals 25/38/999 ( ) physical damage. When the zone ends, heal all allies for 8% ( ) of damage dealt while it was up and dash away. Damage: 25/38/999 ( ) Heal Percentage: 8% ( ) Zone Shield Amount: 350/750/10000 Duration: 2.5/2.5/99",None
Lucian & Senna,5,Attack Caster,"Soulbound, Gunslinger",The Culling,0/70,"Fire 12/12/42 ( ) shots towards target. Each shot explodes on the first enemy hit, dealing 83/132/900 ( ) physical damage to all nearby enemies. Number of Shots: 12/12/42 12/12/42 + 1 per 20 % bonus Damage: 8/12/100 Damage: 83/132/900 75/120/800 ( ) + 8/12/100 ( )",None
Mel,5,Magic Caster,"Noxus, Disruptor",Radiant Eclipse,30/200,"Passive: While gaining Mana, throw out 2/2/9 radiant orbs that orbit around target. They deal 65/100/150 ( ) magic damage in a 1 hex radius and drain 1 Mana from enemies hit each second. After draining 235/235/10 mana, gain a random Radiant Item. (X/ 235/235/10 ) Active: Detonate orbs on target, causing a 3 hex radius explosion that deals 1000/1500/10000 ( ) magic damage to them and 400/600/10000 ( ) damage to all other enemies hit. Orb Damage: 65/100/150 ( ) Target Damage: 1000/1500/10000 ( ) Secondary Damage: 400/600/10000 ( )",2-star Ambessa with an item dies in combat
Ornn,5,Magic Tank,"Blacksmith, Warden",Call of the Forge,50/150,"Summon an elemental from behind the farthest enemy. It 20% Chills enemies hit for 5 seconds and deals 100/150/3000 ( ) magic damage to them. When it arrives, headbutt it and redirect it toward another distant enemy, dealing 150/225/4500 ( ) magic damage instead. Chill: Reduce Attack Speed Damage: 100/150/3000 ( ) Secondary Damage: 150/225/4500 ( )",None
Sett,5,Magic Fighter,"Ionia, The Boss",The Show Stopper,10/90,"Grab target and slam them forward, dealing 220/350/9999 ( ) + 3%/9%/900% ( ) of their max Health as magic damage to them. All other enemies within 3 hexes take 50 % of the total damage. Damage: 220/350/9999 ( ) Max Health Damage: 3%/9%/900% ( )",8 + Only 1 unit in the two front rows of the battlefield
Shyvana,5,Attack Fighter,"Dragonborn, Juggernaut",Dragon's Descent / Flame Breath,0/30,"Dragon's Descent: Transform into a dragon, gaining 600/1000/9999 max Health. Briefly gain 20/20/90 % Durability and dive-bomb into the largest group of enemies, dealing 100/150/3000 ( ) physical damage in a 3 hex circle. Flame Breath: Breath fire in a cone for 3 seconds, dealing 205/305/13579 ( ) physical damage each second to enemies hit. Max Health 600/1000/9999 Dive-Bomb Damage: 100/150/3000 ( ) Flame Breath Damage %i: scaleAP% 20/30/1234 Flame Breath Damage: 205/305/13579 185/275/12345 ( ) + 20/30/1234 ( )",None
T-Hex,5,Attack Fighter,"HexMech, Piltover, Gunslinger",Hextech Arsenal,30/100,"Passive: Attacks fire a barrage of 4 bullets. Active: Gain 440/652/67120 ( ) Shield and begin consuming 33 mana per second. Each second while casting, fire a laser that deals 170/280/2150 ( ) physical damage, reduced by 35 % per enemy hit up to 80 %. Additionally, launch 4 ( ) missiles split between 4 nearby enemies that each deal 34/56/430 ( ) physical damage. Shield: 440/652/67120 10 % + 300/400/66666 Damage: 10/15/150 Laser Damage: 170/280/2150 160/265/2000 ( ) + 10/15/150 ( ) Missiles Per Second: 4 4 + 1 per 25 % Missile Damage: 34/56/430 20 % of 170/280/2150",9 unique star levels ofPiltover
Tahm Kench,5,Magic Tank,"Bilgewater, Glutton, Bruiser",Devour,10/90,"Devour target for 2.5 seconds, dealing 1200/1800/30000 ( ) magic damage and making them immune to other sources of damage. During this time, gain 30 % Durability. If they are immune to crowd control, deal 1000/1500/20000 ( ) magic damage instead. If they die while devoured, spit out a random component they were holding or the unit's cost in gold. Otherwise, spit them towards the farthest enemy, briefly Stunning targets on impact. Damage: 1200/1800/30000 ( ) Reduced Damage: 1000/1500/20000 ( )",Spend 450Bilgewater Silver Serpents
Thresh,5,Magic Fighter,"Shadow Isles, Warden",The Box,0/40,"Passive: Each second, deal 30/50/400 ( ) magic damage to all enemies within 2 hexes. Heal for 75 % of the damage dealt by this effect. Active: Create a prison of walls in a 2 hex radius that lasts 5/5/60 seconds. While active, the Passive's damage is doubled. When an enemy touches a wall, they take 100/150/4000 ( ) magic damage. If there are less than 2 enemies inside The Box at any time, drag an enemy in. Passive Drain: 30/50/400 30/50/400 ( ) + 1 per 15 Damage: 100/150/4000 ( )",Collect 175Shadow Isles Souls
Volibear,5,Attack Fighter,"Freljord, Bruiser",The Relentless Storm,0/20,"Bite the target and mark them, dealing 136/215/2117 ( ) physical damage, increased by 60 % if they are already marked. After casting 5/5/2 times, leap to a nearby hex, activating Stormbringer and dealing 272/430/4234 ( ) physical damage to enemies within a two hex radius. Stormbringer: Gain 400/550/9999 Health and 50/50/999 % Attack Speed. Every 2/2/0.3 seconds, summon a lightning bolt on a nearby enemy, dealing 98/161/1155 ( ) magic damage. Takedowns summon a bolt on fallen enemies. Bite Damage: 136/215/2117 3 % + 100/150/2000 ( ) Slam Damage: 272/430/4234 200 % of 136/215/2117 Max Health: 400/550/9999 Bolt Damage: 98/161/1155 4 % + 50/75/999 ( )",8 + A unit that starts combat with 3800Health
Xerath,5,Magic Caster,"Shurima, Ascendant",Eye of the Ascendant,0/135,Launch 10/10/99 arcane blasts randomly split between the closest 4/4/10 enemies that each deal 390/650/2500 ( ) magic damage. Damage: 390/650/2500 ( ) Num Blasts: 10/10/99,Alternate between winning and losing for 3 combats with Azir.(Gets harder each time you unlock a Shuriman!)
Ziggs,5,Magic Marksman,"Zaun, Yordle, Longshot",Mega Inferno Bomb,0/140,"Passive: Attacks are replaced with a bomb that bounces 1 time, dealing 40/65/500 ( ) magic damage to units hit. Active: Throw an enormous bomb at the largest 4 -hex group of enemies that explodes on impact, dealing between 70/105/3000 ( ) and 550/875/7000 ( ) magic damage to enemies hit based on their distance from the epicenter. Bouncing Bomb Damage: 40/65/500 100 % + 40/65/500 ( ) Min Explosion Damage: 70/105/3000 ( ) Max Explosion Damage: 550/875/7000 ( )",9 + AYordle or aZaunite with 3 items equipped
Zilean,5,Magic Caster,"Chronokeeper, Invoker",Visions of the End,0/35,"Throw a Time Bomb on the nearest enemy without one. Time Bombs deal 75/115/1000 ( ) magic damage each second. When the target dies, they explode, dealing 150/225/4000 ( ) magic damage in a 1 hex radius and grant Zilean 15 mana. If a Time Bomb is on an enemy for 18/16/1 seconds and Zilean is alive, the enemy instantly dies. Damage: 75/115/1000 ( ) Secondary Damage: 150/225/4000 ( ) Seconds Before Instant Death 18/16/1",None
Ambessa,4,Attack Fighter,"Noxus, Vanquisher",Lacerate,0/20,"Swipe and dash around target, dealing 50/75/350 ( ) physical damage to enemies in the path. Then slam chains on target, dealing 158/236/1103 ( ) physical damage in a line. If any enemies are killed, immediately recast this ability, dealing 80 % damage. The slam deals 40/40/100 % more damage to Tanks. Damage: 5/10/30 Damage: 50/75/350 45/65/320 ( ) + 5/10/30 ( ) Slam Damage: 158/236/1103 315 % of 50/75/350",None
Bel'Veth,4,Attack Fighter,"Void, Slayer",Endless Banquet,0/100,"Passive: On takedown, gain 100/100/200 % Attack Speed that decays over 3 seconds. Active: Deal 150/225/900 ( ) physical damage in a 2 hex radius and transform for the rest of combat. While transformed, gain 33%/33%/133% ( ) Attack Speed, 33 % max Health, and increased Move Speed. Attacks deal 15/25/100 bonus true damage, increased by 3/5/30 for each time the same enemy is hit. Damage: 150/225/900 ( ) Attack Speed: 33%/33%/133% ( ) True Damage 15/25/100 Stacking True Damage 3/5/30",None
Braum,4,Magic Tank,"Freljord, Warden",Unbreakable Frost,60/105,"Raise shield for 4 seconds, gaining 55%/55%/90% ( ) Durability and redirecting projectiles to towards Braum instead. When hit, deal 27/43/1245 ( ) magic damage to nearby enemies and 30% Chill them for 2 seconds. Chill: Reduce Attack Speed Durability: 55%/55%/90% ( ) Damage: 15/25/1050 Damage: 27/43/1245 20/30/325 % + 15/25/1050 ( )",None
Diana,4,Magic Assassin,Targon,Lunar Rush,0/30,"Passive: Ability damage from your strongest Leona and strongest Diana marks enemies as Moonlit , reducing their damage by 10 % . Active: Gain 100/175/300 ( ) Shield. Unleash a bolt of lunar energy at the farthest non- Moonlit enemy within 4 hexes, dealing 125/190/600 ( ) magic damage. Then, dash to all Moonlit enemies, dealing 140/210/1350 ( ) magic damage to them. Shield: 100/175/300 ( ) Damage: 125/190/600 ( ) Secondary Damage: 140/210/1350 ( )",6 + 2-star Leona with 3 items equipped
Fizz,4,Magic Assassin,"Bilgewater, Yordle",Playful Trickster,0/10,"Become briefly untargetable, then jump to the farthest enemy within 4 hexes, avoiding Tanks and Fighters, and deal 75/115/450 ( ) magic damage to adjacent enemies. For the next 4 attacks, gain 100 % Attack Speed and deal 50/75/600 ( ) bonus magic damage on hit. Damage: 75/115/450 ( ) Bonus Damage on Hit: 50/75/600 ( )",7 + 5 uniqueYordles orBilgewater units
Garen,4,Attack Tank,"Demacia, Defender",Judgment,50/130,"Spin for 3 seconds, gaining 50/50/80 % Durability and healing for 370/516/1589 ( ) over the duration. Each second, deal 100/150/1700 ( ) physical damage to adjacent enemies and reduce their Armor and Magic Resistance by 5 . Durability 50/50/80 % Heal: 370/516/1589 10 % + 250/300/1200 ( ) Damage: 100/150/1700 ( )",None
Kai'Sa,4,Attack Caster,"Assimilator, Void, Longshot",Icathian Rain,0/10,"Dash away from all enemies, then fire 15/15/25 missiles split across the 4 nearest enemies. Each missile deals 45/72/170 ( ) physical damage. Number of Missiles 15/15/25 Damage: 6/9/20 Damage: 45/72/170 39/63/150 ( ) + 6/9/20 ( )",7 + aLongshot unit with 3 items equipped
Kalista,4,Attack Caster,"Shadow Isles, Vanquisher",Endless Rend,20/65,"Summon 20 ( ) spears split among the 4 nearest enemies. After a brief delay, they each impale their target, dealing 35/53/465 ( ) physical damage and reducing Armor by 1 . Number of Spears: 20 20 + 1 per 25 Damage: 3/5/15 Damage: 35/53/465 32/48/450 ( ) + 3/5/15 ( )",Collect 70Shadow Isles Souls
Lissandra,4,Magic Caster,"Freljord, Invoker",Frozen Tomb,20/70,"Encase target in ice, Stunning them for 1 second and dealing 315/475/2800 ( ) magic damage. All enemies within 2 hexes of them split 415/625/2800 ( ) magic damage. If the target dies, shards fly out and split excess damage between the 2 nearest enemies. Chilled enemies take 12 % more damage from this ability. Chill: Reduce Attack Speed Damage: 315/475/2800 ( ) Secondary Damage: 415/625/2800 ( )",None
Lux,4,Magic Caster,"Demacia, Arcanist",Final Spark,0/50,"Fire a ball of light at the most enemies, dealing 30/45/100 ( ) magic damage to the first 2 enemies hit and Rooting them for 1 second. Then fire a beam, dealing 330/500/1600 ( ) magic damage to enemies hit by the ball and 90/135/900 ( ) magic damage to all other enemies hit. Initial Damage: 30/45/100 ( ) Damage: 330/500/1600 ( ) Secondary Damage: 90/135/900 ( )",None
Miss Fortune,4,Attack Caster,"Bilgewater, Gunslinger",Heartbreaker,0/30,"Passive: Attacks ricochet to the highest current Health enemy, dealing 50/50/100 % damage. Active: Fire waves of bullets that land on the 2/2/6 nearest enemies. The first wave deals 245/370/3070 ( ) physical damage and the rest deal 98/148/2456 ( ) physical damage. Every 3 rd cast, increase the number of waves by 1. Damage: 15/25/70 Damage: 245/370/3070 230/345/3000 ( ) + 15/25/70 ( ) Secondary Wave Damage: 98/148/2456 40/40/80 % of 245/370/3070",None
Nasus,4,Magic Tank,Shurima,Fury of the Sands,10/70,"Steal 485/620/3000 ( ) Health split between the 4/4/8 nearest enemies. For 8 seconds, gain 30 Armor and Magic Resist and deal 23/41/583 ( ) magic damage to adjacent enemies each second. Health Steal: 485/620/3000 ( ) Number of Targets 4/4/8 Damage Per Second: 23/41/583 ( )",Lose 2 combats in a row with Azir.(Gets harder each time you unlock a Shuriman!)
Nidalee,4,Magic Fighter,"Ixtal, Huntress",Relentless Pounce,0/40,"Jump on an adjacent enemy with the lowest health, then deal 320/500/2000 ( ) magic damage to them and 100/150/600 ( ) magic damage to adjacent enemies. If any die, cast again, dealing 70 % damage. Tanks take 60 % more damage from this ability and Fighters take 30 % more. Damage: 320/500/2000 ( ) Secondary Damage: 100/150/600 ( )",Two 2-star Neekos
Renekton,4,Attack Fighter,Shurima,Slice and Dice,0/30,"Dash to the lowest Health enemy within 2 hexes, dealing 80/120/360 ( ) physical damage to all enemies in the path. Then slash 4 times, each dealing 55/85/600 ( ) physical damage. Subsquent casts increase the number of slashes by 1 . Dash Damage: 80/120/360 ( ) Slash Damage: 5/10/50 Slash Damage: 55/85/600 50/75/550 ( ) + 5/10/50 ( )",Win 2 combats in a row with Azir.(Gets harder each time you unlock a Shuriman!)
Rift Herald,4,Magic Tank,"Void, Bruiser",Warp Armor,60/125,"Gain 300/425/2000 max Health and grow larger. Slam in a 2 Hex circle on the target, dealing 166/269/2428 ( ) magic damage to enemies hit. For 4 seconds, gain 25%/25%/80% ( ) Durability + 1 % for each enemy targeting this unit. Max Health 300/425/2000 Damage: 166/269/2428 100/150/2000 ( ) + 6/6/12 % Durability: 25%/25%/80% ( )",HaveVoid active for 8 player combats
Seraphine,4,Magic Caster,"Piltover, Disruptor",Grand Encore,0/20,"Gain 3 notes. For each one active, deal 35/55/300 ( ) magic damage to a nearby enemy. While holding 12 notes on cast, consume them to project a wave of energy. Allies hit restore 40/80/400 ( ) Health. Enemies hit take 270/405/2200 ( ) magic damage, reduced by 30 % for each enemy it's passed through. Note Damage: 35/55/300 ( ) Heal: 40/80/400 ( ) Wave Damage: 270/405/2200 ( )",None
Singed,4,Magic Tank,"Zaun, Juggernaut",Poison Trail,0/80,"Passive: Run around the battlefield, leaving a poison trail that lingers for 4 seconds. Poison trails deal 8/18/160 ( ) magic damage per second to enemies within. Gain 3.5 ( ) Mana each second. Active: For 4 seconds, gain increased Move Speed, restore 15/80/500 ( ) Health each second, and gain 20 Armor and Magic Resistance. Damage Per Second: 8/18/160 ( ) Heal per Second: 15/80/500 ( ) Mana per Second: 3.5 5 x ( )",4 uniqueZaunites orJuggernauts + Lose 35 Player Health
Skarner,4,Attack Tank,Ixtal,Impale,60/120,"Passive: All allies gain 10/20/100 Armor. Active: Gain 750/950/3000 ( ) Shield for 4 seconds. Impale up to three nearby enemies in a line, dealing 8400%/12600%/175000% ( ) physical damage and Stunning them for 1.5/1.75/8 seconds. Passive Armor 10/20/100 Shield: 750/950/3000 ( ) Damage: 8400%/12600%/175000% ( ) Impale Duration: 1.5/1.75/8",7 + A non-Tank with a Gargoyle's Stoneplate equipped
Swain,4,Magic Tank,"Noxus, Arcanist, Juggernaut",Nevermove,50/145,"Passive: Each second, restore 36/52/158 ( ) Health and deal 20/30/90 ( ) magic damage to enemies within 1 Hex. Active: Open a demonic eye on the largest group of nearby enemies, dealing 100/150/1800 ( ) magic damage and Stunning them for 1.5/1.75/8 seconds. Heal: 36/52/158 2 % + 18/20/100 ( ) Damage: 20/30/90 ( ) Demonic Eye Damage: 100/150/1800 ( ) Stun Duration 1.5/1.75/8",None
Taric,4,Magic Tank,Targon,Starlight's Touch,0/80,"Passive: All allies gain 10/20/100 Magic Resist. Once per combat after dropping below 35 % max Health, restore 300/700/2500 health over 2 seconds. Active: Gain 600/700/2500 ( ) Shield and grant the 2 lowest Health allies 125/150/1000 ( ) Shield for 4 seconds. The next 2/2/10 attacks deal 200/300/3000 ( ) bonus magic damage. Passive Magic Resist 10/20/100 Passive Heal: 300/700/2500 Shield: 600/700/2500 ( ) Ally Shield: 125/150/1000 ( ) Damage: 200/300/3000 ( )",None
Veigar,4,Magic Caster,"Yordle, Arcanist",Dark Storm,0/60,"Passive: Gain 50 % more Ability Power from all sources. Active: Call down a storm of 12/12/24 meteors across the battlefield that deal 62/93/199 ( ) magic damage each. They can innately critically strike. For each one that kills an enemy, permanently gain 1 Ability Power. (Permanent Ability Power: X ) Num Meteors 12/12/24 Damage: 62/93/199 ( )",7 + Unit with 2 Rabadon's Deathcaps equipped
Warwick,4,Attack Fighter,"Zaun, Quickstriker",Eternal Hunger,0/90,"Gain 100/100/400 % Attack Speed, 15 % Omnivamp, increased Move Speed, and deal 45/70/550 ( ) bonus physical damage on attack for the rest of combat. While this effect is active, takedowns grant Warwick, Jinx, and Vi 20%/20%/50% ( ) Attack Speed for 3 seconds. Attack Speed 100/100/400 % Damage: 45/70/550 ( ) Attack Speed on Takedown: 20%/20%/50% ( )",7 + Jinx with 1 item equipped + Vi with 1 item equipped
Wukong,4,Attack Tank,"Ionia, Bruiser",Diverting Trickster,30/60,"Passive: On death, summon a Stone copy with 570/956/3361 ( ) Health and Wukong's items. Active: For 4 seconds, gain 100/110/400 ( ) Armor and Magic Resist. Then spin, dealing 150/225/3000 ( ) physical damage to all enemies within 2 hexes. Copy Health: 570/956/3361 40 % + 150/200/2000 Defenses: 100/110/400 ( ) Damage: 150/225/3000 ( )",None
Yone,4,Hybrid Fighter,"Ionia, Slayer",Kin of the Stained Blade,30/100,"Passive: Attacks alternate between dealing 80/120/800 ( ) bonus physical damage and 140/210/1400 ( ) bonus magic damage. Active: Strike through the most enemies possible within 3 hexes, knocking them up for 1.5 seconds and dealing 80/120/480 ( ) physical damage and 80/120/480 ( ) magic damage. Yone then splits 320/480/2160 ( ) physical damage and 320/480/2160 ( ) magic damage among all enemies hit. Blade Brothers: When Yone casts, your strongest Yasuo blinks to each target, dealing bonus physical damage. Bonus Physical Damage: 80/120/800 ( ) Bonus Magic Damage: 140/210/1400 ( ) Spell Damage: 80/120/480 40/60/240 ( ) + 40/60/240 ( ) Split Damage: 320/480/2160 160/240/1080 ( ) + 160/240/1080 ( )",3-star Yasuo/CharacterRecords/Root
Yunara,4,Attack Marksman,"Ionia, Quickstriker",Transcendent State,0/50,"For the next 4 seconds, gain 65%/65%/300% ( ) Attack Speed, infinite range, and replace attacks with lasers. Lasers deal 80/120/425 ( ) physical damage in a line, reduced by 75/75/30 % for each enemy they pass through. When lasers critically strike, they deal 33 % bonus true damage. Attack Speed: 65%/65%/300% ( ) Damage: 80/120/425 ( )",None
Ahri,3,Magic Caster,"Ionia, Arcanist",Fox-Fire,0/30,"Fire 3 flames at target, each dealing 82/125/195 ( ) magic damage. Every 3rd cast, fire 9 flames split between the target and up to 2 nearby enemies. If there are nearby enemies, dash away. Damage: 82/125/195 ( )",None
Darius,3,Attack Tank,"Noxus, Defender",Decimate,20/65,"Restore 315/463/717 ( ) Health and spin, dealing 90/135/210 ( ) physical damage to adjacent enemies and applying a stack of Hemorrhage that deals 12/18/30 ( ) physical damage each second for 5 seconds. If an enemy with Hemorrhage drops below 8 % Health, slam on them, instantly killing them. (Each stack increases the execute threshold by 5 %) Heal: 315/463/717 15 % + 180/220/280 ( ) Damage: 90/135/210 ( ) Hemorrhage Damage: 12/18/30 ( )",Have Draven drop 1 gold
Dr. Mundo,3,Attack Tank,"Zaun, Bruiser",Maximum Dosage,0/60,"Bulk up for 5 seconds. While bulked, restore 114/177/275 ( ) Health every second and attacks deal 105/171/291 ( ) physical damage. Heal: 114/177/275 6 % + 60/80/100 ( ) Damage: 105/171/291 5 % + 60/90/145 ( )",None
Draven,3,Attack Marksman,"Noxus, Quickstriker",Spinning Axes,60/100,"Passive: If Draven has an empowered axe in hand, his next attack will throw it. On takedown, gain an Adoration stack, doubled if Draven or Darius scored the kill. Every 11 Adoration stacks grants 1/3/5 Gold. (Adoration Left: 11, Gold Generated: Xg) Active: Spin an empowered axe that replaces his basic attack and deals 130/185/315 ( ) physical damage and returns to Draven after hitting an enemy. Damage: 10/15/25 Damage: 130/185/315 120/170/290 ( ) + 10/15/25 ( ) Gold Gained: 1/3/5",None
Gangplank,3,Attack Fighter,"Bilgewater, Slayer, Vanquisher",Powder Kegs,0/50,"Toss barrels at the 3 nearest enemies and detonate them. They deal 200/300/475 ( ) damage, reduced by 25 % for each barrel in the chain. Barrels reduce their target's Armor by 10 , increased to 20 if the damage critically strikes. Damage: 10/15/25 Damage: 200/300/475 190/285/450 ( ) + 10/15/25 ( )",None
